site_no,date,time,discharge_cfs
12045500,4/1/2025,3:45,2100
12045500,4/1/2025,4:00,2100
12045500,4/1/2025,4:15,2090
12045500,4/1/2025,4:30,2130
12045500,4/1/2025,4:45,2110
12045500,4/1/2025,5:00,2110
12045500,4/1/2025,5:15,2100
12045500,4/1/2025,5:30,2090
12045500,4/1/2025,5:45,2080
12045500,4/1/2025,6:00,2090
12045500,4/1/2025,6:15,2090
12045500,4/1/2025,6:30,2080
12045500,4/1/2025,6:45,2070
12045500,4/1/2025,7:00,2070
12045500,4/1/2025,7:15,2070
12045500,4/1/2025,7:30,2080
12045500,4/1/2025,7:45,2040
12045500,4/1/2025,8:00,2050
12045500,4/1/2025,8:15,2070
12045500,4/1/2025,8:30,2080
12045500,4/1/2025,8:45,2030
12045500,4/1/2025,9:00,2040
12045500,4/1/2025,9:15,2040
12045500,4/1/2025,9:30,2050
12045500,4/1/2025,9:45,2070
12045500,4/1/2025,10:00,2020
12045500,4/1/2025,10:15,2050
12045500,4/1/2025,10:30,2020
12045500,4/1/2025,10:45,2030
12045500,4/1/2025,11:00,2030
12045500,4/1/2025,11:15,2040
12045500,4/1/2025,11:30,2020
12045500,4/1/2025,11:45,2010
12045500,4/1/2025,12:00,2020
12045500,4/1/2025,12:15,2020
12045500,4/1/2025,12:30,2010
12045500,4/1/2025,12:45,2010
12045500,4/1/2025,13:00,1980
12045500,4/1/2025,13:15,1980
12045500,4/1/2025,13:30,2010
12045500,4/1/2025,13:45,2010
12045500,4/1/2025,14:00,1990
12045500,4/1/2025,14:15,2020
12045500,4/1/2025,14:30,2010
12045500,4/1/2025,14:45,2010
12045500,4/1/2025,15:00,1980
12045500,4/1/2025,15:15,1980
12045500,4/1/2025,15:30,1980
12045500,4/1/2025,15:45,1980
12045500,4/1/2025,16:00,1990
12045500,4/1/2025,16:15,1970
12045500,4/1/2025,16:30,1980
12045500,4/1/2025,16:45,1980
12045500,4/1/2025,17:00,1980
12045500,4/1/2025,17:15,1990
12045500,4/1/2025,17:30,2010
12045500,4/1/2025,17:45,1960
12045500,4/1/2025,18:00,1980
12045500,4/1/2025,18:15,1970
12045500,4/1/2025,18:30,1970
12045500,4/1/2025,18:45,1950
12045500,4/1/2025,19:00,1950
12045500,4/1/2025,19:15,1970
12045500,4/1/2025,19:30,1960
12045500,4/1/2025,19:45,1950
12045500,4/1/2025,20:00,1940
12045500,4/1/2025,20:15,1940
12045500,4/1/2025,20:30,1970
12045500,4/1/2025,20:45,1940
12045500,4/1/2025,21:00,1950
12045500,4/1/2025,21:15,1940
12045500,4/1/2025,21:30,1920
12045500,4/1/2025,21:45,1950
12045500,4/1/2025,22:00,1950
12045500,4/1/2025,22:15,1950
12045500,4/1/2025,22:30,1920
12045500,4/1/2025,22:45,1910
12045500,4/1/2025,23:00,1940
12045500,4/1/2025,23:15,1920
12045500,4/1/2025,23:30,1920
12045500,4/1/2025,23:45,1920
12045500,4/2/2025,0:00,1920
12045500,4/2/2025,0:15,1920
12045500,4/2/2025,0:30,1920
12045500,4/2/2025,0:45,1900
12045500,4/2/2025,1:00,1920
12045500,4/2/2025,1:15,1910
12045500,4/2/2025,1:30,1890
12045500,4/2/2025,1:45,1910
12045500,4/2/2025,2:00,1900
12045500,4/2/2025,2:15,1900
12045500,4/2/2025,2:30,1880
12045500,4/2/2025,2:45,1890
12045500,4/2/2025,3:00,1900
12045500,4/2/2025,3:15,1890
12045500,4/2/2025,3:30,1900
12045500,4/2/2025,3:45,1890
12045500,4/2/2025,4:00,1880
12045500,4/2/2025,4:15,1880
12045500,4/2/2025,4:30,1890
12045500,4/2/2025,4:45,1880
12045500,4/2/2025,5:00,1880
12045500,4/2/2025,5:15,1880
12045500,4/2/2025,5:30,1880
12045500,4/2/2025,5:45,1880
12045500,4/2/2025,6:00,1870
12045500,4/2/2025,6:15,1860
12045500,4/2/2025,6:30,1880
12045500,4/2/2025,6:45,1860
12045500,4/2/2025,7:00,1870
12045500,4/2/2025,7:15,1870
12045500,4/2/2025,7:30,1860
12045500,4/2/2025,7:45,1860
12045500,4/2/2025,8:00,1860
12045500,4/2/2025,8:15,1840
12045500,4/2/2025,8:30,1840
12045500,4/2/2025,8:45,1860
12045500,4/2/2025,9:00,1860
12045500,4/2/2025,9:15,1840
12045500,4/2/2025,9:30,1860
12045500,4/2/2025,9:45,1830
12045500,4/2/2025,10:00,1840
12045500,4/2/2025,10:15,1840
12045500,4/2/2025,10:30,1840
12045500,4/2/2025,10:45,1830
12045500,4/2/2025,11:00,1830
12045500,4/2/2025,11:15,1810
12045500,4/2/2025,11:30,1820
12045500,4/2/2025,11:45,1810
12045500,4/2/2025,12:00,1830
12045500,4/2/2025,12:15,1830
12045500,4/2/2025,12:30,1820
12045500,4/2/2025,12:45,1830
12045500,4/2/2025,13:00,1810
12045500,4/2/2025,13:15,1830
12045500,4/2/2025,13:30,1810
12045500,4/2/2025,13:45,1830
12045500,4/2/2025,14:00,1820
12045500,4/2/2025,14:15,1800
12045500,4/2/2025,14:30,1810
12045500,4/2/2025,14:45,1800
12045500,4/2/2025,15:00,1810
12045500,4/2/2025,15:15,1810
12045500,4/2/2025,15:30,1820
12045500,4/2/2025,15:45,1800
12045500,4/2/2025,16:00,1790
12045500,4/2/2025,16:15,1790
12045500,4/2/2025,16:30,1800
12045500,4/2/2025,16:45,1790
12045500,4/2/2025,17:00,1810
12045500,4/2/2025,17:15,1810
12045500,4/2/2025,17:30,1770
12045500,4/2/2025,17:45,1770
12045500,4/2/2025,18:00,1780
12045500,4/2/2025,18:15,1790
12045500,4/2/2025,18:30,1780
12045500,4/2/2025,18:45,1800
12045500,4/2/2025,19:00,1790
12045500,4/2/2025,19:15,1780
12045500,4/2/2025,19:30,1780
12045500,4/2/2025,19:45,1780
12045500,4/2/2025,20:00,1780
12045500,4/2/2025,20:15,1770
12045500,4/2/2025,20:30,1780
12045500,4/2/2025,20:45,1770
12045500,4/2/2025,21:00,1770
12045500,4/2/2025,21:15,1780
12045500,4/2/2025,21:30,1750
12045500,4/2/2025,21:45,1770
12045500,4/2/2025,22:00,1750
12045500,4/2/2025,22:15,1750
12045500,4/2/2025,22:30,1780
12045500,4/2/2025,22:45,1750
12045500,4/2/2025,23:00,1770
12045500,4/2/2025,23:15,1770
12045500,4/2/2025,23:30,1770
12045500,4/2/2025,23:45,1740
12045500,4/3/2025,0:00,1740
12045500,4/3/2025,0:15,1750
12045500,4/3/2025,0:30,1750
